239,268,133
237,147,104
213,351,265
358,21,247
100,47,1
288,77,121
96,331,331
84,195,358
302,85,5
97,130,76
319,233,195
201,259,280
88,131,50
257,130,66
329,82,20
48,296,51
332,250,126
299,1,310
238,154,72
133,293,62
98,116,221
188,39,147
52,257,147
79,199,304
70,197,200
265,113,113
338,254,148
313,123,238
309,19,231
243,322,104
208,313,197
347,159,14
204,140,42
231,354,38
263,253,51
180,228,162
109,332,41
317,154,39
272,144,352
341,238,19
274,168,294
42,230,244
107,82,38
186,61,332
70,106,258
109,49,229
187,128,150
69,133,348
63,249,159
157,74,14
21,221,260
23,316,186
103,220,22
165,73,146
123,282,271
67,247,47
140,163,95
122,154,110
228,205,34
304,338,339
84,308,7
24,165,198
71,47,149
72,6,188
206,22,54
3,304,210
77,354,2
112,17,270
278,257,67
150,153,110
152,157,240
42,80,123
139,99,116
72,355,200
257,67,156
265,274,132
56,225,259
182,227,343
336,331,291
96,105,266
131,280,252
38,278,207
306,164,300
289,222,205
93,4,358
161,214,308
113,12,341
294,94,287
209,328,289
256,64,108
191,43,353
209,300,74
306,218,147
308,318,110
191,125,2
54,88,222
343,175,117
341,341,92
283,195,186
323,187,309
