17,85,174
214,43,58
167,223,352
302,258,37
51,260,172
241,339,9
257,129,128
185,87,176
99,115,103
306,39,44
84,305,192
232,201,80
313,241,342
341,326,2
169,200,100
89,346,201
142,322,22
187,340,41
39,191,356
357,114,286
314,219,184
307,218,311
204,177,58
92,287,98
25,274,162
125,16,246
76,9,128
260,164,76
22,256,323
151,193,10
82,315,126
56,27,106
177,220,340
147,244,168
143,49,35
283,161,66
237,272,174
110,280,104
158,53,54
108,284,320
346,53,343
48,10,330
330,328,246
56,307,155
264,288,124
319,117,115
40,98,95
257,272,280
194,331,35
21,256,332
51,68,294
19,159,191
184,95,39
64,311,191
178,181,323
19,204,351
339,198,295
298,67,186
225,89,139
62,212,38
294,308,72
272,4,238
219,244,128
292,134,22
76,335,146
263,78,91
315,174,126
42,41,58
37,112,1
108,153,69
51,121,241
0,128,3
118,264,176
84,158,319
222,46,63
272,221,90
40,321,10
47,105,37
271,252,266
13,235,250
237,111,91
58,240,12
139,75,207
142,144,173
274,231,16
165,178,353
353,124,249
270,67,190
59,3,16
204,88,235
95,105,29
284,206,46
228,164,164
51,132,146
241,256,177
196,132,233
21,105,73
271,18,110
1,326,43
259,358,237
